ç
"Município","ibge","latitude","longitude","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2010 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2011 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2012 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2013 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2014 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2015 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2016 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2017 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2018 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2019 (-)","/Emprego/Número de Vínculos Empregatícios/Ativos/CNAE 2.0 Seção/03.Indústrias de transformação 2020 (-)"
"Aceguá","4300034","-31.86075999999","-54.16705999999","1","29","18","16","32","27","34","23","59","23","117"
"Água Santa","4300059","-28.16720000000","-52.03099999999","38","26","28","36","36","46","45","63","67","89","71"
"Agudo","4300109","-29.6447","-53.2515","577","632","799","751","806","747","744","758","691","659","584"
"Ajuricaba","4300208","-28.23420000000","-53.77570000000","115","107","83","105","54","93","90","97","132","109","105"
"Alecrim","4300307","-27.65790000000","-54.76489999999","43","42","43","39","31","27","38","37","38","37","34"
"Alegrete","4300406","-29.79019999999","-55.79489999999","1.619","1.520","1.663","1.614","1.569","1.672","796","1.625","1.564","1.602","1.600"
"Alegria","4300455","-27.83449999999","-54.05570000000","7","18","24","39","51","81","8","25","8","6","5"
"Almirante Tamandaré do Sul","4300471","-28.10859999999","-52.91190000000","21","30","69","94","99","112","118","138","227","209","222"
"Alpestre","4300505","-27.2502","-53.03410000000","31","36","39","27","38","43","42","34","29","30","27"
"Alto Alegre","4300554","-28.77690000000","-52.98919999999","8","20","18","12","22","30","27","28","26","18","20"
"Alto Feliz","4300570","-29.3919","-51.3123","320","277","310","325","336","325","333","375","385","394","400"
"Alvorada","4300604","-29.99139999999","-51.0809","4.217","4.231","4.961","3.979","3.695","3.725","3.589","3.418","3.192","3.195","2.913"
"Amaral Ferrador","4300638","-30.87559999999","-52.25099999999","1","1","1","1","2","1","1","2","3","2","3"
"Ametista do Sul","4300646","-27.36070000000","-53.183","99","156","223","163","208","204","215","258","416","472","344"
"André da Rocha","4300661","-28.62829999999","-51.57970000000","23","22","22","20","19","22","16","44","50","40","32"
"Anta Gorda","4300703","-28.96979999999","-52.01019999999","426","476","401","418","377","355","385","419","429","399","303"
"Antônio Prado","4300802","-28.8565","-51.2883","1.437","1.547","1.740","1.775","1.860","1.832","1.838","1.858","1.845","1.898","1.974"
"Arambaré","4300851","-30.90930000000","-51.50460000000","3","2","1","0","0","1","0","3","2","3","2"
"Araricá","4300877","-29.61680000000","-50.92909999999","973","971","950","994","1.043","925","870","1.036","1.023","1.136","1.230"
"Aratiba","4300901","-27.3978","-52.29749999999","148","154","162","170","166","149","129","147","169","184","168"
"Arroio do Meio","4301008","-29.40139999999","-51.9557","3.469","3.392","3.302","3.797","3.596","3.564","3.612","3.527","3.518","3.530","3.799"
"Arroio do Padre","4301073","-31.4316","-52.41709999999","0","0","4","4","4","10","14","10","13","17","16"
"Arroio do Sal","4301057","-29.54390000000","-49.88949999999","81","86","115","132","109","96","102","82","51","57","44"
"Arroio do Tigre","4301206","-29.33480000000","-53.09660000000","319","332","431","428","367","388","221","378","390","472","423"
"Arroio dos Ratos","4301107","-30.08750000000","-51.72749999999","242","237","208","221","197","179","137","143","135","121","114"
"Arroio Grande","4301305","-32.23270000000","-53.08619999999","120","186","114","105","36","36","34","40","37","29","43"
"Arvorezinha","4301404","-28.87369999999","-52.17810000000","356","384","448","439","464","516","503","478","472","473","476"
"Augusto Pestana","4301503","-28.51729999999","-53.98830000000","77","83","97","101","109","110","106","106","128","125","123"
"Áurea","4301552","-27.6936","-52.0505","54","45","59","59","61","86","98","93","101","102","95"
"Bagé","4301602","-31.32969999999","-54.09989999999","1.936","1.837","1.850","1.993","2.013","2.028","1.100","2.013","1.983","1.824","1.827"
"Balneário Pinhal","4301636","-30.24190000000","-50.23360000000","17","110","27","17","19","83","88","101","94","87","98"
"Barão","4301651","-29.37250000000","-51.49490000000","1.238","1.206","1.284","1.377","1.375","1.142","1.047","1.074","1.122","1.083","1.058"
"Barão de Cotegipe","4301701","-27.62079999999","-52.37980000000","290","297","335","356","253","312","313","366","430","438","416"
"Barão do Triunfo","4301750","-30.38909999999","-51.73839999999","3","3","9","26","7","11","9","7","3","3","3"
"Barra do Guarita","4301859","-27.19269999999","-53.71090000000","0","0","0","1","0","0","7","0","0","3","4"
"Barra do Quaraí","4301875","-30.2029","-57.54970000000","1","0","7","16","9","5","3","4","4","5","5"
"Barra do Ribeiro","4301909","-30.29390000000","-51.30140000000","359","365","332","419","403","343","292","313","329","294","243"
"Barra do Rio Azul","4301925","-27.4068","-52.4084","2","1","3","3","3","3","1","2","1","2","2"
"Barra Funda","4301958","-27.92050000000","-53.03909999999","346","323","334","325","348","360","349","358","301","267","271"
"Barracão","4301800","-27.6739","-51.45859999999","59","50","52","55","73","91","97","102","84","74","60"
"Barros Cassal","4302006","-29.0947","-52.58359999999","18","24","25","23","27","23","26","29","20","26","18"
"Benjamin Constant do Sul","4302055","-27.50860000000","-52.59949999999","4","5","6","6","7","8","13","11","12","11","19"
"Bento Gonçalves","4302105","-29.1662","-51.51650000000","18.220","18.958","19.566","19.697","19.416","17.511","16.663","16.522","16.375","16.334","17.210"
"Boa Vista das Missões","4302154","-27.66710000000","-53.31020000000","7","2","4","14","28","22","26","14","18","13","9"
"Boa Vista do Buricá","4302204","-27.6693","-54.10819999999","761","747","508","516","523","472","449","432","458","461","396"
"Boa Vista do Cadeado","4302220","-28.5716","-53.81380000000","0","7","8","11","16","10","12","4","3","4","0"
"Boa Vista do Incra","4302238","-28.80920000000","-53.3874","5","3","8","3","5","4","3","2","1","3","1"
"Boa Vista do Sul","4302253","-29.35439999999","-51.66870000000","118","189","222","214","249","261","286","280","314","320","310"
"Bom Jesus","4302303","-28.66969999999","-50.42949999999","129","165","142","153","157","167","228","264","277","267","247"
"Bom Princípio","4302352","-29.48560000000","-51.35479999999","2.488","2.622","2.634","2.715","2.776","2.574","2.653","2.582","2.739","2.712","2.978"
"Bom Progresso","4302378","-27.53989999999","-53.87160000000","16","11","13","24","25","16","21","22","24","19","17"
"Bom Retiro do Sul","4302402","-29.60859999999","-51.94639999999","2.391","2.059","1.845","1.889","1.831","1.862","1.902","1.876","1.881","1.932","1.860"
"Boqueirão do Leão","4302451","-29.30460000000","-52.42840000000","50","52","54","57","48","52","55","54","39","37","29"
"Bossoroca","4302501","-28.72909999999","-54.90350000000","11","5","7","2","1","0","0","0","0","1","1"
"Bozano","4302584","-28.36746000000","-53.77223999999","5","1","3","3","6","4","4","4","5","6","6"
"Braga","4302600","-27.6173","-53.74049999999","15","11","9","13","14","12","14","15","18","13","13"
"Brochier","4302659","-29.5501","-51.59449999999","442","429","409","398","347","220","274","244","271","161","164"
"Butiá","4302709","-30.11789999999","-51.96009999999","210","209","232","208","169","156","121","110","107","108","98"
"Caçapava do Sul","4302808","-30.51439999999","-53.48270000000","604","692","714","830","885","827","761","825","823","724","755"
"Cacequi","4302907","-29.88830000000","-54.82200000000","32","36","40","18","12","15","19","14","7","2","6"
